sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
-0.255525;0.151129;-0.0480113;0;0;-1.02228e-16;-0.0231622;0.0226542;0.000217726;0;0;-1.15177e-17;-0.0143527;0.014157;0.000195696;0;0;-7.16696e-18;0.0250005;
-0.456201;0.057735;-0.18928;0;0;8.18606e-17;-0.0467337;0.0447745;0.000839638;0;0;7.86034e-19;-0.0430866;0.042134;0.000952558;0;0;3.54215e-18;0.0760094;
-0.749101;-0.109429;-0.41189;2.28903e-18;3.35488e-18;-2.44744e-16;-0.0705884;0.0663536;0.00181489;5.63182e-19;8.2542e-19;-2.8795e-17;-0.0849991;0.0824448;0.00255431;3.52469e-19;5.16592e-19;-3.48204e-17;0.152829;
-1.1182;-0.340103;-0.702822;7.11829e-19;-2.95813e-18;-7.66172e-17;-0.0945889;0.0873852;0.00308732;1.08661e-19;-1.02637e-18;-1.68716e-17;-0.138417;0.133227;0.00518922;4.01425e-19;-1.47879e-19;-4.08151e-17;0.255203;
-1.54821;-0.620824;-1.04782;1.66348e-18;3.6509e-18;-9.66089e-17;-0.118587;0.107864;0.00459551;4.35082e-19;1.3012e-18;-1.47169e-17;-0.201306;0.192363;0.00894305;6.43558e-19;6.62272e-19;-5.01361e-17;0.382795;
-2.0228;-0.936786;-1.43145;-1.93573e-18;1.50914e-17;9.84702e-18;-0.142422;0.127786;0.00627292;-9.93576e-19;5.58467e-18;3.63733e-18;-0.27141;0.25761;0.0137993;-1.00699e-20;4.01705e-18;-3.24456e-17;0.535176;
-2.52388;-1.27263;-1.8372;2.27702e-18;1.50369e-18;-2.08787e-18;-0.165925;0.147146;0.00804816;9.80976e-19;-1.05323e-18;-1.18121e-17;-0.346382;0.326736;0.0196462;5.83022e-19;3.04017e-18;-2.19509e-17;0.711823;
-3.03183;-1.61237;-2.24762;-4.18448e-18;1.01656e-17;1.00612e-18;-0.188916;0.165943;0.00984545;-2.23654e-18;3.36691e-18;1.28242e-17;-0.423924;0.397635;0.0262893;-8.09651e-19;4.76558e-18;-1.35021e-17;0.912112;
-3.5261;-1.93913;-2.64443;-1.04351e-17;7.1182e-18;7.55484e-17;-0.211207;0.184175;0.0115852;-4.91324e-18;1.22915e-18;2.83968e-17;-0.501889;0.468421;0.0334678;-3.63626e-18;4.99787e-18;1.47561e-17;1.13531;
