sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8.33129;8.33129;7.98146;-2.46116e-18;-4.61468e-19;4.61468e-19;0.04;0.04;-0.033059;-5.13992e-19;-9.63735e-20;9.63735e-20;0;0;0;0;0;0;0.0472622;
16.9558;16.9558;16.5734;-2.77457e-18;1.16395e-18;1.53074e-18;0.08;0.08;-0.0638379;-1.02798e-18;1.28498e-19;3.85494e-19;0;0;0;0;0;0;0.0943137;
25.935;25.935;25.5308;7.93781e-18;-1.78562e-17;-1.6017e-17;0.12;0.12;-0.09257;3.85494e-19;-3.0197e-18;-2.44146e-18;0;0;0;0;0;0;0.140045;
35.235;35.235;34.8149;1.66343e-17;3.39493e-17;4.87992e-17;0.16;0.16;-0.119458;3.08395e-18;2.69846e-18;5.71816e-18;0;0;0;0;0;0;0.184571;
44.8257;44.8257;44.3933;2.68737e-17;1.03521e-17;-4.35442e-17;0.2;0.2;-0.144677;7.19589e-18;4.11194e-18;-1.41348e-18;0;0;0;0;0;0;0.228;
54.6807;54.6807;54.2384;-5.5409e-17;2.69732e-17;7.62323e-18;0.24;0.24;-0.168381;-1.28498e-18;8.09538e-18;0;0;0;0;0;0;0;0.270428;
64.7765;64.7765;64.3258;-1.46583e-16;-5.75942e-17;1.36794e-17;0.28;0.28;-0.190707;-2.21017e-17;-3.85494e-19;1.92747e-18;0;0;0;0;0;0;0.311945;
75.0922;75.0922;74.6343;9.67003e-17;-3.20447e-17;-6.38975e-17;0.32;0.32;-0.211774;-7.70988e-18;-4.49743e-18;-7.06739e-18;0;0;0;0;0;0;0.352626;
85.6095;85.6095;85.1452;4.42933e-18;1.07873e-16;1.10217e-16;0.36;0.36;-0.231687;-7.70988e-18;1.02798e-17;8.22387e-18;0;0;0;0;0;0;0.392542;
96.3118;96.3118;95.8419;1.68486e-16;-5.26387e-17;-1.1123e-16;0.4;0.4;-0.250542;1.43918e-17;2.69846e-18;-7.06739e-18;0;0;0;0;0;0;0.431755;
107.185;107.185;106.709;-6.81846e-17;-7.58714e-17;1.00084e-16;0.44;0.44;-0.268422;4.62593e-18;-6.6819e-18;6.4249e-18;0;0;0;0;0;0;0.47032;
118.215;118.215;117.735;-6.10169e-17;1.17685e-16;5.23064e-17;0.48;0.48;-0.285403;-2.56996e-18;8.48087e-18;1.23358e-17;0;0;0;0;0;0;0.508288;
129.39;129.39;128.905;-2.4151e-17;-2.53023e-16;-1.23685e-16;0.52;0.52;-0.301552;-5.13992e-18;-2.31296e-17;-3.08395e-18;0;0;0;0;0;0;0.545702;
140.7;140.7;140.211;-3.28155e-16;1.93358e-16;-1.50103e-17;0.56;0.56;-0.316931;-4.42033e-17;1.54198e-18;-4.11194e-18;0;0;0;0;0;0;0.582604;
152.135;152.135;151.643;6.4957e-16;5.83014e-18;9.79272e-17;0.6;0.6;-0.331594;3.39235e-17;1.02798e-18;7.45289e-18;0;0;0;0;0;0;0.619031;
163.687;163.687;163.191;-3.94163e-16;-4.43877e-17;-1.57888e-16;0.64;0.64;-0.345593;-1.54198e-17;-4.11194e-18;-1.13078e-17;0;0;0;0;0;0;0.655014;
175.347;175.347;174.847;2.1497e-16;3.11475e-16;3.55299e-16;0.68;0.68;-0.358971;1.13078e-17;3.13535e-17;2.98115e-17;0;0;0;0;0;0;0.690585;
187.108;187.108;186.605;-3.48809e-16;-7.51572e-17;-9.12176e-17;0.72;0.72;-0.37177;-2.87836e-17;2.10737e-17;1.74757e-17;0;0;0;0;0;0;0.725771;
198.964;198.964;198.458;2.99765e-16;-3.77791e-16;-2.56536e-16;0.76;0.76;-0.384029;6.16791e-18;-1.97887e-17;-1.00228e-17;0;0;0;0;0;0;0.760597;
210.908;210.908;210.399;4.58314e-17;2.8375e-17;6.87223e-17;0.8;0.8;-0.39578;9.25186e-18;-1.43918e-17;-1.02798e-18;0;0;0;0;0;0;0.795085;
222.936;222.936;222.424;1.47772e-16;1.68521e-16;1.90218e-16;0.84;0.84;-0.407057;2.46716e-17;3.34095e-18;1.87607e-17;0;0;0;0;0;0;0.829257;
235.042;235.042;234.526;-1.38338e-16;-2.42508e-16;-3.39268e-16;0.88;0.88;-0.417887;9.25186e-18;-2.31296e-17;-1.79897e-17;0;0;0;0;0;0;0.863132;
247.221;247.221;246.703;-4.79933e-17;3.80224e-16;6.16362e-17;0.92;0.92;-0.428297;5.13992e-18;1.77327e-17;-9.50885e-18;0;0;0;0;0;0;0.896728;
259.469;259.469;258.948;-1.03424e-16;6.07102e-17;2.17333e-16;0.96;0.96;-0.438312;-5.13992e-18;2.15877e-17;1.23358e-17;0;0;0;0;0;0;0.930061;
